idx,name,team,mound,inning,result,strikeout,dead4ball,losescore,earnedrun,pitchnum,hitted,homerun,battednum,batternum,year
20230313001,최승용,두산,1,40,L,1,0,2,2,52,4,1,16,16,2023
20230313001,박정수,두산,0,11,L,1,1,1,1,25,3,0,6,7,2023
20230313001,김호준,두산,0,02,L,0,1,0,0,10,0,0,1,2,2023
20230313001,김강률,두산,0,10,W,0,1,0,0,13,0,0,2,3,2023
20230313001,이병헌,두산,0,10,H,1,0,0,0,13,0,0,3,3,2023
20230313001,홍건희,두산,0,10,L,2,0,0,0,10,1,0,4,4,2023
20230313011,박종훈,SSG,1,30,L,2,0,0,0,40,2,0,11,11,2023
20230313011,백승건,SSG,0,10,L,1,1,1,1,21,1,0,4,5,2023
20230313011,윤태현,SSG,0,10,L,2,0,0,0,13,0,0,3,3,2023
20230313011,최민준,SSG,0,10,L,0,0,0,0,17,0,0,4,4,2023
20230313011,고효준,SSG,0,10,L,1,0,0,0,12,1,0,3,3,2023
20230313011,이로운,SSG,0,10,L,1,0,2,2,29,3,0,6,6,2023
20230313005,이민호,LG,1,20,L,2,1,2,2,46,5,1,11,12,2023
20230313005,임찬규,LG,0,20,L,2,0,0,0,23,1,0,6,6,2023
20230313005,최성훈,LG,0,02,L,0,1,0,0,11,1,0,2,3,2023
20230313005,백승현,LG,0,11,L,3,1,0,0,26,1,0,5,6,2023
20230313005,윤호솔,LG,0,10,L,0,1,0,0,17,0,0,3,4,2023
20230313005,성동현,LG,0,01,L,0,1,0,0,23,1,0,2,3,2023
20230313005,유영찬,LG,0,02,W,1,1,0,0,14,0,0,2,3,2023
20230313005,이우찬,LG,0,10,L,3,1,0,0,19,1,0,4,5,2023
20230313010,조이현,KT,1,30,L,4,0,1,1,40,3,0,12,12,2023
20230313010,엄상백,KT,0,10,L,1,0,0,0,9,0,0,3,3,2023
20230313010,이채호,KT,0,10,L,1,0,0,0,20,1,0,4,4,2023
20230313010,박세진,KT,0,10,L,2,0,0,0,17,0,0,3,3,2023
20230313010,손동현,KT,0,10,W,2,0,0,0,16,0,0,3,3,2023
20230313010,김영현,KT,0,10,H,2,1,0,0,17,0,0,3,4,2023
20230313010,박영현,KT,0,10,L,3,0,0,0,12,0,0,3,3,2023
20230313006,임기영,KIA,1,20,L,3,3,0,0,55,2,0,8,11,2023
20230313006,김승현,KIA,0,10,L,1,1,3,2,26,2,0,6,7,2023
20230313006,최지민,KIA,0,20,L,0,0,1,1,25,2,0,8,9,2023
20230313006,김기훈,KIA,0,20,L,0,0,2,2,37,2,1,7,8,2023
20230313006,곽도규,KIA,0,10,L,0,0,0,0,11,0,0,3,3,2023
20230314001,김동주,두산,1,31,L,5,3,7,7,72,6,1,15,18,2023
20230314001,장원준,두산,0,12,L,0,0,1,1,26,1,1,6,6,2023
20230314001,김지용,두산,0,10,L,0,0,0,0,13,0,0,3,3,2023
20230314001,이승진,두산,0,10,L,0,0,0,0,22,2,0,5,5,2023
20230314001,고봉재,두산,0,10,L,0,0,0,0,12,0,0,3,3,2023
20230314011,맥카티,SSG,1,30,L,3,0,0,0,41,2,0,10,10,2023
