idx,team,result,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,r,h,e,b,year,month,day,week,home,away,dbheader,place,audience,starttime,endtime,gametime
20210321010,KT,1,4,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,4,9,0,5,2021,3,21,6,두산,KT,0,잠실,0,13:03,15:51,2:48
20210321001,두산,-1,0,0,0,2,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,9,0,1,2021,3,21,6,두산,KT,0,잠실,0,13:03,15:51,2:48
20210321008,키움,-1,0,0,0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,1,7,2,2,2021,3,21,6,롯데,키움,0,사직,0,13:00,15:39,2:39
20210321002,롯데,1,1,0,1,0,1,3,0,0,-,-,-,-,-,-,-,-,-,-,6,8,0,6,2021,3,21,6,롯데,키움,0,사직,0,13:00,15:39,2:39
20210321006,KIA,-1,0,0,0,0,1,3,2,1,0,-,-,-,-,-,-,-,-,-,7,12,3,7,2021,3,21,6,삼성,KIA,0,대구,0,12:59,16:06,3:07
20210321003,삼성,1,1,0,0,0,6,0,0,3,-,-,-,-,-,-,-,-,-,-,10,8,1,6,2021,3,21,6,삼성,KIA,0,대구,0,12:59,16:06,3:07
20210321011,SSG,-1,0,0,0,1,0,0,0,0,2,-,-,-,-,-,-,-,-,-,3,6,0,4,2021,3,21,6,NC,SSG,0,창원,0,12:59,15:51,2:52
20210321009,NC,1,5,2,2,0,2,0,0,0,-,-,-,-,-,-,-,-,-,-,11,14,1,7,2021,3,21,6,NC,SSG,0,창원,0,12:59,15:51,2:52
20210321005,LG,-1,0,0,0,0,0,2,0,0,0,-,-,-,-,-,-,-,-,-,2,5,0,4,2021,3,21,6,한화,LG,0,대전,0,13:00,16:06,3:06
20210321004,한화,1,0,0,0,0,0,0,0,2,1,-,-,-,-,-,-,-,-,-,3,9,0,8,2021,3,21,6,한화,LG,0,대전,0,13:00,16:06,3:06
20210322004,한화,1,7,0,0,0,0,0,1,4,0,-,-,-,-,-,-,-,-,-,12,11,2,9,2021,3,22,0,두산,한화,0,잠실,0,12:58,16:33,3:35
20210322001,두산,-1,0,3,0,1,0,0,0,1,0,-,-,-,-,-,-,-,-,-,5,12,0,3,2021,3,22,0,두산,한화,0,잠실,0,12:58,16:33,3:35
20210322011,SSG,-1,1,0,1,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,3,7,4,5,2021,3,22,0,롯데,SSG,0,사직,0,12:58,15:52,2:54
20210322002,롯데,1,0,0,2,0,1,2,5,0,-,-,-,-,-,-,-,-,-,-,10,16,0,4,2021,3,22,0,롯데,SSG,0,사직,0,12:58,15:52,2:54
20210322006,KIA,1,0,0,0,2,2,0,1,1,1,-,-,-,-,-,-,-,-,-,7,9,0,6,2021,3,22,0,NC,KIA,0,창원,0,13:00,15:43,2:43
20210322009,NC,-1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,2,2,4,2021,3,22,0,NC,KIA,0,창원,0,13:00,15:43,2:43
20210322005,LG,-1,0,0,1,0,0,1,0,1,0,-,-,-,-,-,-,-,-,-,3,4,0,6,2021,3,22,0,KT,LG,0,수원,0,13:00,15:31,2:31
20210322010,KT,1,0,1,4,1,0,1,2,0,-,-,-,-,-,-,-,-,-,-,9,11,1,6,2021,3,22,0,KT,LG,0,수원,0,13:00,15:31,2:31
20210322008,키움,0,0,0,2,2,0,0,1,0,-,-,-,-,-,-,-,-,-,-,5,7,3,1,2021,3,22,0,삼성,키움,0,대구,0,18:00,20:28,2:28
20210322003,삼성,0,0,2,0,0,1,0,0,2,-,-,-,-,-,-,-,-,-,-,5,10,0,2,2021,3,22,0,삼성,키움,0,대구,0,18:00,20:28,2:28
20210323004,한화,1,0,0,0,0,0,4,0,0,0,-,-,-,-,-,-,-,-,-,4,6,1,3,2021,3,23,1,두산,한화,0,잠실,0,12:59,16:08,3:09
20210323001,두산,-1,0,0,1,0,1,1,0,0,0,-,-,-,-,-,-,-,-,-,3,8,2,3,2021,3,23,1,두산,한화,0,잠실,0,12:59,16:08,3:09
20210323011,SSG,-1,0,0,2,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,5,1,3,2021,3,23,1,롯데,SSG,0,사직,0,12:59,15:35,2:36
20210323002,롯데,1,0,0,0,0,0,0,1,2,-,-,-,-,-,-,-,-,-,-,3,8,0,4,2021,3,23,1,롯데,SSG,0,사직,0,12:59,15:35,2:36
20210323008,키움,0,0,0,0,0,1,1,1,0,0,-,-,-,-,-,-,-,-,-,3,7,1,2,2021,3,23,1,삼성,키움,0,대구,0,13:00,15:49,2:49
20210323003,삼성,0,1,0,0,1,0,0,0,1,0,-,-,-,-,-,-,-,-,-,3,5,1,8,2021,3,23,1,삼성,키움,0,대구,0,13:00,15:49,2:49
20210323006,KIA,1,5,0,1,3,0,0,1,1,0,-,-,-,-,-,-,-,-,-,11,14,1,5,2021,3,23,1,NC,KIA,0,창원,0,13:00,15:51,2:51
